NDVI,LST,THERMAL_ANOMALIES,CLASS
0.652994,15077.5,5,no_fire
0.657085,14487,5,no_fire
0.478435,14227,5,no_fire
0.502898,14715,5,fire
0.662968,14757,3,no_fire
0.43433,14755.80702,4.859155,no_fire
0.60611,14689,5,no_fire
0.654292,15108,5,no_fire
0.536492,14626,3,no_fire
0.676258,14725.5,4.888889,no_fire
0.621461,14393,5,no_fire
0.423742,14551.81288,4.420181,fire
0.426519,14228.28571,5,no_fire
0.510788,15009.96667,5,no_fire
0.696085,14374,5,no_fire
0.536977,14786.84211,4.982609,no_fire
0.533068,14818.4,3.8,no_fire
0.558044,14969.66667,4.886792,fire
0.583612,14574,5,no_fire
0.406965,13873,4.617073,no_fire
0.605563,14296.25676,4.891892,no_fire
0.576353,14798.56863,4.607843,no_fire
0.449513,15000.4,5,no_fire
0.581125,14628.33333,4.952381,no_fire
0.452882,14432.54902,4.504878,fire
0.617781,14934,5,fire
0.663091,14984,4.777778,no_fire
0.567387,15247.07547,4.811321,fire
0.464813,15457.65217,4.965217,no_fire
0.539518,14563.44444,4.952381,no_fire
0.582539,14317.8,4.84507,no_fire
0.541174,13813.5,3,no_fire
0.596937,14722,3.666667,no_fire
0.389513,14916.81773,4.794457,fire
0.48512,14459.69875,4.562806,no_fire
0.681533,14933,5,no_fire
0.648838,14572.08772,4.913043,no_fire
0.614932,14462,5,no_fire
0.519862,15126.5,5,no_fire
0.598429,14689,4.538462,no_fire
0.607632,14791.30659,4.935843,fire
0.538794,14166,5,no_fire
0.702344,14662.93201,4.43871,no_fire
0.699433,14652.72254,4.535484,no_fire
0.682466,14652,5,no_fire
0.660444,14550.375,4.615385,no_fire
0.46791,14607.34615,4.98892,fire
0.428941,14417.53333,4.431193,no_fire
0.424902,14812,4.93617,fire
0.708939,14153,5,no_fire
0.642696,14597.66667,5,no_fire
0.631953,14908.37456,4.44095,no_fire
0.536685,14660.11111,4.830189,no_fire
0.570324,14513.5,5,no_fire
0.491819,13948.58407,4.796814,no_fire
0.527699,14948,5,fire
0.523611,15020.67372,4.565217,fire
0.453973,14853,5,no_fire
0.577438,15144,4,no_fire
0.512178,14624.44737,5,no_fire
0.174045,13779.16901,4.676056,no_fire
0.449647,14970.38597,4.692982,fire
0.574245,15030.5,5,no_fire
0.632868,14532.19355,4.914894,no_fire
0.572342,15251,9,fire
0.524845,14711.60313,4.895907,fire
0.483524,14703.44792,4.98783,fire
0.450263,15438.45098,4.607843,fire
0.534588,15085.73529,5,no_fire
0.636939,14306.70233,4.745614,no_fire
0.479156,14784.05882,5,fire
0.600617,14891.5,5,fire
0.467766,14807.93333,4.894098,fire
0.635206,14414,4.690512,fire
0.467505,14749.93333,4.944598,fire
0.572482,14366,5,no_fire
0.556909,14524.33333,5,no_fire
0.682284,14780,5,fire
0.456558,13864.56667,5,no_fire
0.711535,13965,3.703226,no_fire
0.671326,14726.67606,4.971831,no_fire
0.580911,15018.56863,4.686275,no_fire
0.439677,14765.44828,5,fire
0.615611,14801.33333,4,no_fire
0.522769,13994,5,no_fire
0.57268,15120.6875,3.875,no_fire
0.627471,14745.63793,3.724138,no_fire
0.564002,14445.19048,5,no_fire
0.438145,14369.50909,4.970339,no_fire
0.624863,14628.84946,4.716867,no_fire
0.580912,14770.4,4.4,fire
0.48652,14438.94444,4.833333,no_fire
0.65587,14562,3.5,no_fire
0.623837,14455.61905,4.36612,fire
0.513786,14652.23387,4.857143,no_fire
0.667583,14115,5,no_fire
0.644475,15039.25,5,no_fire
0.532313,14489,3,no_fire
0.480916,14909,3.637931,fire
0.673747,14453.78261,4.971014,no_fire
0.70851,14391.07042,4.716129,no_fire
0.545559,14113.41989,4.62439,no_fire
0.65028,14800.125,4.888889,no_fire
0.569658,14462,3,fire
0.556669,14858.17383,4.875347,no_fire
0.396272,14332,4.382927,no_fire
0.467998,14839.49344,4.862969,no_fire
0.55408,14761.66667,4.962963,no_fire
0.55267,14439.3,5,fire
0.605278,14567.66667,3,no_fire
0.598544,14884.5,5,no_fire
0.734616,14596,5,no_fire
0.6601,14500.5,4,no_fire
0.603396,14807.19048,4.809524,no_fire
0.532569,15049.47059,5,fire
0.547673,14237.6,5,no_fire
0.657085,14487,5,no_fire
0.485756,14126,4.59434,no_fire
0.565173,14262.6,5,no_fire
0.423182,14586.16471,4.476657,no_fire
0.456703,14881.116,4.6,no_fire
0.640377,14457.5,4.698113,no_fire
0.48459,14717.90323,5,fire
0.697041,14259,4.888889,no_fire
0.695167,14588.75,5,no_fire
0.546486,14343,5,no_fire
0.619246,14814,5,no_fire
0.465956,14303.4,5,no_fire
0.5931,14916.06957,4.318841,fire
0.513785,14525.22727,3.637931,no_fire
0.618064,14122.25,4.914894,no_fire
0.634633,14923.60714,4.97619,no_fire
0.530114,15221.09788,5.178899,no_fire
0.630733,14373.97194,4.669462,no_fire
0.563287,14673.4902,4.882353,no_fire
0.573999,14468,3,fire
0.688334,14644.75,5,no_fire
0.543778,14765.25,5,fire
0.625488,14941.21429,4.428571,no_fire
0.421794,14460.85714,5,no_fire
0.576319,14402.81818,5,no_fire
0.571093,14798.5,4.75,no_fire
0.567085,14541,5,no_fire
0.572482,14366,5,no_fire
0.492132,14892.8,5,no_fire
0.517935,14823.61765,5.882353,fire
0.478502,14614.36,5,no_fire
0.641675,15005,5,no_fire
0.687941,14413,4,no_fire
0.446279,15151.96375,4.859233,fire
0.121439,13969.18182,5,no_fire
0.56985,13914,4.395349,no_fire
0.552721,14405,3,no_fire
0.57627,14959.05391,4.421384,fire
0.586448,13891.6506,4.97619,no_fire
0.58786,14688.4,4.8,no_fire
0.63613,14709.62698,4.382609,fire
0.687639,14672,5,no_fire
0.586448,13891.6506,4.97619,no_fire
0.441084,14288.26667,4.75,no_fire
0.456017,14027.5,4,no_fire
0.609722,14381.61834,4.479358,no_fire
0.466677,14517.07692,4.235495,fire
0.4275,14882,5,no_fire
0.538733,14259,5,no_fire
0.498599,14544.43333,4.33913,fire
0.662241,14018.80645,4.804688,no_fire
0.544498,14395.5,5,no_fire
0.626756,14812,3,no_fire
0.434481,14581.59307,4.355505,no_fire
0.427322,13799.91453,4.982906,no_fire
0.410039,14721.16667,4.647887,fire
0.513233,14709,5,no_fire
0.570244,14596.75,4.732394,no_fire
0.575863,13994.81522,4.830189,no_fire
0.626348,14063.12,5,no_fire
0.631131,14356.33333,5,no_fire
0.548776,14734.84314,4.947826,no_fire
0.485788,14705.44681,5,fire
0.454228,14929.57143,4.904762,fire
0.579681,14953,5,fire
0.630227,14815.55556,4.555556,no_fire
0.715045,14961,5,no_fire
0.536006,14715,5,fire
0.516076,13967,5,no_fire
0.66514,14392.39844,4.796875,no_fire
0.431869,14617.72523,4.486446,no_fire
0.540635,14717.625,4.142857,fire
0.511655,14475.68,5,no_fire
0.508593,14919.15415,5.229917,fire
0.525051,15011.69697,4.302326,fire
0.657081,15186,5,no_fire
0.54554,14486,5,no_fire
0.592685,14843.04762,4.679245,no_fire
0.616579,14952,5,fire
0.58915,14143.5,4.888889,no_fire
0.536325,14487.94872,4.73913,no_fire
0.602404,14584,5,fire
0.613795,14608.07317,4.513514,fire
0.563992,14480,5,no_fire
0.561,13742.15,4.619718,no_fire
0.369285,14884,5,no_fire
0.651397,14601,5,fire
0.643733,14652.80851,5,no_fire
0.487963,14325,3.986949,no_fire
0.506076,14588.53846,4.125,no_fire
0.631994,14337,5,no_fire
0.532199,15405.98002,5.271001,fire
0.651685,14734.10855,4.477064,fire
0.601603,14788.5,3,no_fire
0.573024,15059.75,5,fire
0.441666,15016.63333,5,no_fire
0.554327,14594.6,4.704225,no_fire
0.4751,14361,5,no_fire
0.617811,14806.86885,4.912568,fire
0.365765,14669.61798,4.497113,fire
0.600742,14700,3,fire
0.474517,14646.5,5,no_fire
0.584274,14536.20238,4.54717,no_fire
0.506443,14078.91667,4.732463,no_fire
0.631937,14818.73797,4.542922,fire
0.585315,15105.55556,4.555556,fire
0.436657,14754.17021,4.857923,no_fire
0.640391,14916.54546,4.97619,no_fire
0.538957,14527.58919,4.920323,fire
0.529811,14861.06742,4.947826,no_fire
0.439825,14363.28571,4.898305,no_fire
0.534045,15360.42857,6.695652,fire
0.731072,14434,4,no_fire
0.513625,14240.73333,4.880952,fire
0.675918,14683.23377,4.736842,no_fire
0.606789,14329.68421,4.153623,no_fire
0.519147,14711.71429,5,no_fire
0.50297,14742.00935,4.912698,no_fire
0.703983,14867.93281,4.926978,no_fire
0.512949,14030.96104,4.295269,no_fire
0.642466,14158,5,fire
0.574426,14476.5,5,fire
0.546154,14559.33044,4.965217,no_fire
0.608492,14729.5,3,no_fire
0.522825,14782,3,no_fire
0.622407,14710,5,no_fire
0.602715,14795,5,no_fire
0.663364,15017.11111,4.444444,no_fire
0.617781,14934,5,fire
0.467017,14498.4,5,fire
0.600926,14707.50704,4.774648,no_fire
0.514803,14151.24862,4.471132,no_fire
0.553002,15283.3224,4.672131,no_fire
0.560956,15239.67105,4.842105,fire
0.628873,14577,3.5,fire
0.531416,14593.14286,4.36,no_fire
0.628137,14394.09091,4.142202,no_fire
0.585995,14608.49778,4.463768,no_fire
0.514508,14708,4,no_fire
0.63473,14738.5,3,no_fire
0.561629,14670.5,5,fire
0.529636,14049.55882,4.595339,no_fire
0.476538,15228.39474,5,no_fire
0.581743,14696,3,no_fire
0.569896,14236.47059,4.823529,no_fire
0.52418,14666,5,no_fire
0.691341,14957,5,no_fire
0.481053,14913.37541,4.736803,no_fire
0.506683,15467.875,6.141791,fire
0.570774,14616.57143,4.958955,no_fire
0.470155,15030,5,no_fire
0.611015,14095.47248,4.929825,no_fire
0.612995,14743.31965,4.980154,fire
0.613922,14660.70213,5,no_fire
0.616928,14577,5,no_fire
0.614471,13611,4.921053,no_fire
0.464954,14635.33962,4.811321,no_fire
0.610429,14597.37037,4.787234,no_fire
0.623737,14602.74074,5,no_fire
0.476217,15157.21012,4.895536,fire
0.471895,14105.2,4.028398,no_fire
0.472134,14493.52,5,no_fire
0.512805,15091.68476,4.931485,no_fire
0.585039,14746,5,no_fire
0.541603,14482.28571,4.463768,no_fire
0.632882,14580.53488,4.735849,no_fire
0.572598,14916.5,5,no_fire
0.424832,14983.8871,4.498494,fire
0.466677,14517.07692,4.235495,fire
0.526296,14918.9375,5,no_fire
0.671326,14726.67606,4.971831,no_fire
0.625647,15333,5,no_fire
0.574426,14476.5,5,fire
0.610376,14665,4.232558,no_fire
0.688382,14835,3.5,fire
0.631031,14994,5,no_fire
0.681533,14933,5,no_fire
0.461984,15071.01471,4.78922,fire
0.63684,14884.68945,4.746235,fire
0.624277,14047.5,5,no_fire
0.594195,14455,5,no_fire
0.623532,14266,3,no_fire
0.427011,14591.97037,4.681476,fire
0.640565,14594.08696,5,no_fire
0.540158,14426.27273,4.017241,fire
0.619163,14816,4,no_fire
0.655475,14684.05556,5,no_fire
0.456017,14027.5,4,no_fire
0.695635,14419.11268,4.746479,no_fire
0.556622,14940,3.666667,fire
0.484724,14849.42105,5,no_fire
0.673325,14567.83333,4.444444,no_fire
0.508305,14775.58333,4.583333,no_fire
0.577932,14175.58333,4.97619,no_fire
0.656426,14395.5,3,no_fire
0.611786,14044.33333,5,no_fire
0.472834,15214.68,5.608696,fire
0.513625,14240.73333,4.880952,fire
0.659369,13980.38843,4.960938,no_fire
0.50354,14580.3125,4.804688,fire
0.617843,14723.4,4.6,no_fire
0.547465,14678.21212,5,no_fire
0.608402,14199,3.666667,no_fire
0.674904,14596,5,no_fire
0.448412,14489.58379,4.981524,no_fire
0.53404,14537.59381,4.913873,fire
0.385054,14448.91667,4.956522,fire
0.536148,14558,5,no_fire
0.624118,15088.64789,4.915493,no_fire
0.523643,14952.71429,4.817073,fire
0.538799,14014.16038,4.957852,no_fire
0.329875,14964.27273,5,no_fire
0.585081,14543.4,4.2,no_fire
0.472904,14887.11539,4.926978,no_fire
0.524633,14766,5,no_fire
0.697144,14791,5,no_fire
0.564743,14758,5,no_fire
0.468836,14594.48781,4.921875,no_fire
0.544291,15154,5,no_fire
0.518813,14783.81132,4.886792,no_fire
0.560461,15091.33333,3,no_fire
0.588574,13913,4.568627,no_fire
0.600663,15006,5,no_fire
0.567611,14761.4,5,no_fire
0.610429,14597.37037,4.787234,no_fire
0.559342,14690.13333,4.625,fire
0.56985,13914,4.395349,no_fire
0.638351,14647,3,no_fire
0.461352,14641,4.941272,no_fire
0.615137,14625,5,no_fire
0.592345,13823.86111,4.878378,no_fire
0.527271,15022,3,no_fire
0.568734,14743,5,no_fire
0.590484,14159.33333,5,no_fire
0.620817,14430.5,3,no_fire
0.634834,14690.5971,4.298551,no_fire
0.636726,14418.64407,4.928571,no_fire
0.546738,14431.44444,5,fire
0.479998,15225.98246,5,no_fire
0.723267,14824,5,no_fire
0.642346,13764.55769,4.94929,no_fire
0.625392,14394,3.5,no_fire
0.588011,14811.84211,3.655172,fire
0.574426,14476.5,5,fire
0.56484,14423,3,no_fire
0.701565,14146.08333,3.948387,no_fire
0.58639,14123,3,no_fire
0.515248,14297.66667,5,no_fire
0.655916,14739,4,no_fire
0.435367,14722.40051,4.898305,no_fire
0.510489,14252.125,4.086207,no_fire
0.476959,14054.33333,4.625,no_fire
0.657366,14645.75,4.964286,no_fire
0.429191,15001.74691,4.643072,fire
0.470658,14887.44444,4.95614,fire
0.504111,14087.55556,4.172414,no_fire
0.630556,13929.75807,4.891892,no_fire
0.619727,14357,4.428571,no_fire
0.65963,14918,5,no_fire
0.594617,14943,4,no_fire
0.535231,15086.61111,4.888889,no_fire
0.503515,14834.05263,3.724138,fire
0.697767,14833,5,no_fire
0.515754,14163.60314,4.763458,no_fire
0.499876,15160.45833,4.666667,fire
0.573963,14801.7,3.8,fire
0.457004,14646,4.93913,fire
0.585481,14526.9,4.2,no_fire
0.574706,14570.65335,4.792554,no_fire
0.526338,14964.42494,4.959584,fire
0.533474,14778.5,5,no_fire
0.495343,14745,5,fire
0.592957,14621.8,4.375,no_fire
0.446279,15151.96375,4.859233,fire
0.629497,15187.88889,4.888889,no_fire
0.547747,14922,5,no_fire
0.487941,14517.46667,5,no_fire
0.497609,14713.71429,5,fire
0.645652,14894,5,no_fire
0.624658,14454,5,no_fire
0.477516,15391.49565,4.304348,fire
0.502366,14412.5,4.644809,no_fire
0.588011,14811.84211,3.655172,fire
0.62542,14418.5512,4.556314,no_fire
0.461416,14095.67857,5,no_fire
0.490148,15441.55357,4.086207,fire
0.587625,14881.3,3.8,no_fire
0.447169,14401.53333,4.901408,no_fire
0.540663,13749,4.273171,no_fire
0.611025,14949,5,no_fire
0.588391,14539,3,no_fire
0.634132,14421.94595,4.716981,no_fire
0.532569,15049.47059,5,fire
0.630983,14725.5,5,no_fire
0.723267,14824,5,no_fire
0.576046,14755.5,5,no_fire
0.661699,14364,5,no_fire
0.438553,14720.30769,5,fire
0.622966,14855.5,3,fire
0.583466,14402.22857,4.764706,no_fire
0.63519,14999,5,no_fire
0.50354,14580.3125,4.804688,fire
0.590409,15065.66667,3,no_fire
0.538456,15011.48185,4.295652,no_fire
